#hours,days,lat,lon,start,duration
12,1,52.20278057861328,5.778829479217528,1483357253563,7.6
12,1,52.21137890625,5.790892505645751,1483357404464,16.7
12,1,52.21229824829102,5.793692016601562,1483358153171,13.4
12,1,52.21230206298828,5.793685817718505,1483358170271,27.0
12,1,52.21255383300781,5.793587112426757,1483358214571,21.0
12,1,52.215113494873044,5.790400886535643,1483358312072,14.1
12,1,52.215460632324216,5.788854503631591,1483358349072,31.7
13,1,52.216502044677725,5.782526397705078,1483358531774,15.7
13,1,52.21613583374024,5.777304077148437,1483358611375,12.2
13,1,52.21575436401367,5.772756481170653,1483358671875,17.0
13,1,52.20497784423828,5.775653266906738,1483358772676,1.9
13,1,52.206541870117185,5.775250339508056,1483358917077,12.5
13,1,52.20225796508789,5.7809018135070795,1483359109979,30.7
13,1,52.21145520019531,5.790966892242431,1483359254380,11.1
13,1,52.21243176269531,5.793536567687988,1483359915186,4.5
13,1,52.21510968017578,5.790397548675537,1483360011887,5.7
13,1,52.215891693115225,5.787210845947266,1483360125088,8.501
13,1,52.216402862548826,5.782703304290771,1483360187089,13.4
13,1,52.2161282043457,5.777735614776611,1483360262289,0.1
13,1,52.21613583374024,5.777719402313231,1483360263089,0.1
13,1,52.2157734375,5.7728404045104975,1483360314390,32.6
13,1,52.21182904052734,5.770526790618895,1483360423891,21.2
13,1,52.2076176147461,5.772395038604736,1483360539592,7.1
13,1,52.207239959716794,5.773256206512451,1483360668293,20.7
13,1,52.2065189819336,5.775207901000976,1483360726994,14.2
13,1,52.206446502685544,5.775425338745117,1483360756994,0.2
13,1,52.21143994140625,5.790941143035888,1483361164498,25.2
13,1,52.21230206298828,5.793635272979736,1483361706103,4.5
13,1,52.2123440246582,5.793580436706542,1483361715603,25.0
13,1,52.21561322021485,5.788800144195556,1483361857304,53.401
13,1,52.21589932250977,5.787213706970214,1483361933205,8.3
14,1,52.216421936035154,5.782479667663574,1483362071206,18.3
14,1,52.216151092529294,5.777393245697021,1483362141307,17.7
14,1,52.21616253662109,5.777374649047851,1483362159507,0.4
14,1,52.21321759033203,5.77172794342041,1483362241608,10.1
14,1,52.207274291992185,5.773386859893798,1483362380209,25.4
14,1,52.206534240722654,5.775276088714599,1483362429509,31.401
14,1,52.206419799804685,5.775196933746337,1483362461210,0.8
14,1,52.20472225952149,5.776039028167724,1483362530810,32.9
14,1,52.204684112548826,5.776029968261718,1483362564110,0.203
14,1,52.211390350341794,5.790918731689453,1483362861715,35.298
14,1,52.2113674621582,5.790954494476318,1483362897414,0.8
14,1,52.212305877685544,5.793623828887939,1483363504619,19.6
14,1,52.21550259399414,5.790829563140869,1483363605420,21.9
14,1,52.215193603515615,5.790617370605468,1483363646720,14.8
14,1,52.21559796142578,5.788838768005371,1483363693521,31.1
14,1,52.21587643432617,5.78720417022705,1483363747121,10.2
14,1,52.2158840637207,5.785818481445311,1483363778421,37.900999999999996
14,1,52.21647534179688,5.78232135772705,1483363860222,35.7
14,1,52.21614727783203,5.7773193359374995,1483363953723,20.8
14,1,52.215784881591794,5.772710704803466,1483364017623,25.401
14,1,52.213229034423826,5.771706008911132,1483364085324,9.3
